"","X","symboling","make","fuel.type","body.style","drive.wheels","engine.location","width","height","engine.type","engine.size","horsepower","city.mpg","highway.mpg","price"
"1",1,3,"alfa-romero","gas","convertible","rwd","front",64.1,48.8,"dohc",130,"111",21,27,13495
"2",2,3,"alfa-romero","gas","convertible","rwd","front",64.1,48.8,"dohc",130,"111",21,27,16500
"3",3,1,"alfa-romero","gas","hatchback","rwd","front",65.5,52.4,"ohcv",152,"154",19,26,16500
"4",4,2,"audi","gas","sedan","fwd","front",66.2,54.3,"ohc",109,"102",24,30,13950
"5",5,2,"audi","gas","sedan","4wd","front",66.4,54.3,"ohc",136,"115",18,22,17450
"6",6,2,"audi","gas","sedan","fwd","front",66.3,53.1,"ohc",136,"110",19,25,15250
"7",7,1,"audi","gas","sedan","fwd","front",71.4,55.7,"ohc",136,"110",19,25,17710
"8",8,1,"audi","gas","wagon","fwd","front",71.4,55.7,"ohc",136,"110",19,25,18920
"9",9,1,"audi","gas","sedan","fwd","front",71.4,55.9,"ohc",131,"140",17,20,23875
"10",10,0,"audi","gas","hatchback","4wd","front",67.9,52,"ohc",131,"160",16,22,12000
"11",11,2,"bmw","gas","sedan","rwd","front",64.8,54.3,"ohc",108,"101",23,29,16430
"12",12,0,"bmw","gas","sedan","rwd","front",64.8,54.3,"ohc",108,"101",23,29,16925
"13",13,0,"bmw","gas","sedan","rwd","front",64.8,54.3,"ohc",164,"121",21,28,20970
"14",14,0,"bmw","gas","sedan","rwd","front",64.8,54.3,"ohc",164,"121",21,28,21105
"15",15,1,"bmw","gas","sedan","rwd","front",66.9,55.7,"ohc",164,"121",20,25,24565
"16",16,0,"bmw","gas","sedan","rwd","front",66.9,55.7,"ohc",209,"182",16,22,30760
"17",17,0,"bmw","gas","sedan","rwd","front",67.9,53.7,"ohc",209,"182",16,22,41315
"18",18,0,"bmw","gas","sedan","rwd","front",70.9,56.3,"ohc",209,"182",15,20,36880
"19",19,2,"chevrolet","gas","hatchback","fwd","front",60.3,53.2,"l",61,"48",47,53,5151
"20",20,1,"chevrolet","gas","hatchback","fwd","front",63.6,52,"ohc",90,"70",38,43,6295
"21",21,0,"chevrolet","gas","sedan","fwd","front",63.6,52,"ohc",90,"70",38,43,6575
"22",22,1,"dodge","gas","hatchback","fwd","front",63.8,50.8,"ohc",90,"68",37,41,5572
